HD001,KH01,2024-05-10,3.75E7
HD002,KH02,2024-05-15,2.32E7
HD003,KH04,2024-05-20,265000.0
HD004,KH03,2024-06-02,1.62E7
HD005,KH01,2024-06-10,3500000.0
HD006,KH06,2024-06-15,850000.0
HD007,KH05,2024-06-20,120000.0
HD008,KH02,2024-06-25,450000.0
HD009,KH01,2026-07-05,3.74E7
HD010,KH02,2026-07-05,6.27E7
HD011,KH02,2026-07-05,9.9E7
HD012,kh05,2026-07-05,360000.0
HD013,kh03,2026-07-05,216000.0
HD014,kh04,2026-07-05,35000.0
HD015,kh01,2026-07-05,2160000.0
HD016,kh01,2026-07-05,9450000.0
HD017,kh01,2026-07-05,1530000.0
HD018,kh02,2026-07-05,382500.0
HD019,kh03,2026-07-05,2.09E7
HD020,kh01,2026-07-05,382500.0
